carpeta_teselas,depth,dreamsim,grid_cols,grid_rows,imagen,lpips,prueba,psnr,ssim,tipo_experimento,usar_adaptacion_pool,usar_espacio_perceptual
pid/pruebas/teselas_mas_variedad,0,0.7294731140136719,40,60,beachnight,0.8571975827217102,prueba_depth_0,11.223613161394777,0.04030945524573326,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.5170422196388245,40,60,clothshop,0.7389520406723022,prueba_depth_0,10.450777271994422,0.06268056482076645,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.6398380994796753,40,60,eagle,0.8720848560333252,prueba_depth_0,10.163553222364053,0.030451631173491478,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.4413931369781494,40,60,flower,0.850583016872406,prueba_depth_0,12.731644940430025,0.07143358141183853,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.7232257127761841,40,60,forest,0.7337021827697754,prueba_depth_0,10.142728359910091,0.021165000274777412,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.48548638820648193,40,60,fruits,0.7528484463691711,prueba_depth_0,11.159195766756794,0.0656299889087677,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.6853187084197998,40,60,house,0.7287188172340393,prueba_depth_0,10.651256084726272,0.03541150689125061,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.6905258893966675,40,60,mountain,0.7660160064697266,prueba_depth_0,10.67208055377282,0.032604511827230453,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.702019214630127,40,60,padelplayers,0.7536892890930176,prueba_depth_0,11.031269531528647,0.05207550525665283,depth,False,True
pid/pruebas/teselas_mas_variedad,0,0.6066930294036865,40,60,streetmarket,0.673311173915863,prueba_depth_0,9.616728619069129,0.04604403302073479,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.7037082314491272,40,60,beachnight,0.8612505197525024,prueba_depth_1,11.268177072476359,0.04398530349135399,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.4715164303779602,40,60,clothshop,0.750555694103241,prueba_depth_1,10.83588433794857,0.08458200842142105,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.6090596914291382,40,60,eagle,0.8736534714698792,prueba_depth_1,10.183523109307721,0.03193248435854912,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.3959808349609375,40,60,flower,0.872697651386261,prueba_depth_1,12.957904884019493,0.07811965048313141,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.7241560220718384,40,60,forest,0.733820915222168,prueba_depth_1,10.155272660518227,0.02223469316959381,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.48272693157196045,40,60,fruits,0.7661901116371155,prueba_depth_1,11.362862696951513,0.07842224091291428,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.646925687789917,40,60,house,0.7345297336578369,prueba_depth_1,10.718604947383437,0.039487872272729874,depth,False,True
pid/pruebas/teselas_mas_variedad,1,0.6860790252685547,40,60,mountain,0.767461359500885,prueba_depth_1,10.695877638336453,0.03405635058879852,depth,False,True
