carpeta_teselas,depth,dreamsim,grid_cols,grid_rows,imagen,lpips,prueba,psnr,ssim,tipo_experimento,usar_adaptacion_pool,usar_espacio_perceptual
pid/pruebas/teselas_menos_variedad,1,0.780973494052887,10,15,beachnight,0.7990800142288208,prueba_grid_dims_15x10,13.80127434468582,0.17529352009296417,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5453746318817139,10,15,clothshop,0.6707173585891724,prueba_grid_dims_15x10,11.458975296775282,0.11115476489067078,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.7177888751029968,10,15,eagle,0.7290747761726379,prueba_grid_dims_15x10,12.873393448383228,0.11233044415712357,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5053198337554932,10,15,flower,0.6951241493225098,prueba_grid_dims_15x10,14.796699641952218,0.20096828043460846,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.7254112958908081,10,15,forest,0.7404895424842834,prueba_grid_dims_15x10,12.590017257965327,0.07734852284193039,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.3618074655532837,10,15,fruits,0.6222021579742432,prueba_grid_dims_15x10,12.27780743247453,0.08403464406728745,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.7449695467948914,10,15,house,0.7180684804916382,prueba_grid_dims_15x10,13.572554151867466,0.20172666013240814,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.801382839679718,10,15,mountain,0.7691264152526855,prueba_grid_dims_15x10,13.128515577845288,0.10099828988313675,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6646384000778198,10,15,padelplayers,0.6443786025047302,prueba_grid_dims_15x10,12.415001375901094,0.10880470275878906,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5267366766929626,10,15,streetmarket,0.6175708174705505,prueba_grid_dims_15x10,11.24908612676381,0.06116098538041115,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.7538343667984009,20,30,beachnight,0.7821336388587952,prueba_grid_dims_30x20,14.059125405000971,0.10487186908721924,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5315435528755188,20,30,clothshop,0.6671978235244751,prueba_grid_dims_30x20,12.29208858487713,0.10451453179121017,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6312144994735718,20,30,eagle,0.7302770018577576,prueba_grid_dims_30x20,13.447402829282574,0.07481839507818222,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.4803593158721924,20,30,flower,0.7367338538169861,prueba_grid_dims_30x20,15.3905196856788,0.13614505529403687,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6818020343780518,20,30,forest,0.6881722211837769,prueba_grid_dims_30x20,12.563484100574465,0.046781573444604874,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.42243480682373047,20,30,fruits,0.6078047156333923,prueba_grid_dims_30x20,12.804611044355536,0.085795558989048,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6362764239311218,20,30,house,0.6705484986305237,prueba_grid_dims_30x20,13.886810734550771,0.1504615843296051,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.7534022927284241,20,30,mountain,0.7009433507919312,prueba_grid_dims_30x20,13.353432375748245,0.07259136438369751,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6968837976455688,20,30,padelplayers,0.6635565757751465,prueba_grid_dims_30x20,12.995745564509793,0.09091360121965408,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5183365345001221,20,30,streetmarket,0.6147923469543457,prueba_grid_dims_30x20,11.860942604273369,0.07301401346921921,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.7117284536361694,30,45,beachnight,0.8262006044387817,prueba_grid_dims_45x30,14.265708319662387,0.08530065417289734,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5092699527740479,30,45,clothshop,0.6814056038856506,prueba_grid_dims_45x30,12.965747768232855,0.10807669162750244,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.4906132221221924,30,45,eagle,0.7736335396766663,prueba_grid_dims_45x30,13.543521059458909,0.061454132199287415,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.42426806688308716,30,45,flower,0.7680528163909912,prueba_grid_dims_45x30,15.76706799965065,0.12029671669006348,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.609381377696991,30,45,forest,0.6532977819442749,prueba_grid_dims_45x30,12.822002050715076,0.04193344712257385,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.419930100440979,30,45,fruits,0.6550784111022949,prueba_grid_dims_45x30,12.961752509253873,0.09213986992835999,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5593972206115723,30,45,house,0.6529513597488403,prueba_grid_dims_45x30,14.017871273349234,0.12111058086156845,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6815921068191528,30,45,mountain,0.6855810880661011,prueba_grid_dims_45x30,13.56823814502575,0.06797086447477341,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6708349585533142,30,45,padelplayers,0.693169116973877,prueba_grid_dims_45x30,13.401450141375282,0.08923544734716415,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.49644291400909424,30,45,streetmarket,0.6209429502487183,prueba_grid_dims_45x30,11.984369618570323,0.08161812275648117,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6357349753379822,40,60,beachnight,0.8129814267158508,prueba_grid_dims_60x40,14.320938845739612,0.07515199482440948,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.4831032156944275,40,60,clothshop,0.7341886758804321,prueba_grid_dims_60x40,12.994277939383213,0.12544243037700653,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.3928719758987427,40,60,eagle,0.8422891497612,prueba_grid_dims_60x40,13.805625093871473,0.06205087900161743,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.35820305347442627,40,60,flower,0.7944867610931396,prueba_grid_dims_60x40,16.087076371680112,0.11319869756698608,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5698763132095337,40,60,forest,0.6655295491218567,prueba_grid_dims_60x40,12.925386083469085,0.050367992371320724,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.4525054693222046,40,60,fruits,0.7061879634857178,prueba_grid_dims_60x40,13.3644845725455,0.10140969604253769,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.46347862482070923,40,60,house,0.6563337445259094,prueba_grid_dims_60x40,14.19899269527545,0.10603597015142441,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6106144189834595,40,60,mountain,0.721663236618042,prueba_grid_dims_60x40,13.74127466973839,0.0646364688873291,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.6052143573760986,40,60,padelplayers,0.7513900995254517,prueba_grid_dims_60x40,13.685176661039218,0.0898459181189537,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.44977110624313354,40,60,streetmarket,0.6766504049301147,prueba_grid_dims_60x40,12.350023331077274,0.10297664999961853,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.5889874696731567,50,80,beachnight,0.8795983791351318,prueba_grid_dims_80x50,14.54078614170781,0.07437751442193985,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.4537617564201355,50,80,clothshop,0.7714701890945435,prueba_grid_dims_80x50,13.375938867088122,0.115983746945858,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.3144809603691101,50,80,eagle,0.8864911794662476,prueba_grid_dims_80x50,14.020971802407994,0.06966913491487503,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.30837297439575195,50,80,flower,0.8638394474983215,prueba_grid_dims_80x50,16.38117629965476,0.11794396489858627,grid_dims,False,True
pid/pruebas/teselas_menos_variedad,1,0.512836217880249,50,80,forest,0.6809066534042358,prueba_grid_dims_80x50,13.013369593134335,0.05062350630760193,grid_dims,False,True
